operation,m,experts,active_experts,grouped_mm_p50_us,matmul_p50_us,grouped_mm_speedup
gate_up,1,8,1,89.56799656152725,55.58399856090546,0.6205787858917102
gate_up,2,8,2,152.8479978442192,96.6079980134964,0.6320527542137522
gate_up,4,8,4,259.13599133491516,178.96000295877457,0.6906026524408231
gate_up,8,8,8,463.5680019855499,342.27199852466583,0.7383425884846446
gate_up,16,8,8,436.91200017929077,347.9680120944977,0.7964258522350173
gate_up,32,8,8,418.65599155426025,350.816011428833,0.8379576991754702
gate_up,64,8,8,438.32001090049744,358.2080006599426,0.8172294026093622
gate_up,1,64,1,86.71999722719193,55.15199899673462,0.6359778685445017
gate_up,2,64,2,149.6639996767044,96.6079980134964,0.6454992397783265
gate_up,4,64,4,258.11199843883514,180.12799322605133,0.6978675703397659
gate_up,8,64,8,463.3760005235672,345.42399644851685,0.745450770126686
gate_up,16,64,16,882.4159801006317,678.3200204372406,0.7687077701832692
gate_up,32,64,32,1621.2159991264343,1339.7279977798462,0.8263723023346282
gate_up,64,64,64,3060.528039932251,2670.7839965820312,0.872654640550574
down,1,8,1,96.3200032711029,36.159999668598175,0.3754152662019955
down,2,8,2,100.70399940013885,59.007998555898666,0.585954866811549
down,4,8,4,120.14399841427803,102.62399911880493,0.8541749939513332
down,8,8,8,224.70399737358093,191.83999300003052,0.8537453505158946
down,16,8,8,208.80000293254852,197.34400510787964,0.9451341108056897
down,32,8,8,213.9200046658516,194.04800236225128,0.9071054512426695
down,64,8,8,254.89600002765656,190.11199474334717,0.7458414205115803
down,1,64,1,96.25600278377533,35.51999852061272,0.36901593140536976
down,2,64,2,99.71199929714203,59.087999165058136,0.5925866453542441
down,4,64,4,121.08799815177917,104.38399761915207,0.8620507334534568
down,8,64,8,211.87199652194977,194.36800479888916,0.9173841186640859
down,16,64,16,395.88800072669983,379.63199615478516,0.9589378699478771
down,32,64,32,717.488020658493,743.3919906616211,1.0361036968664006
down,64,64,64,1416.9439673423767,1488.9119863510132,1.0507910126775302
